"east","north","evi.mean","evi.sd","annual.evi.sd","inter.evi.sd","nat.fres","Urban","Industrial","Quarry","ArtificialVeg","Arable","PermanentCrops","Pasture","HeteroAg","Forest","Scrub","OpenGround","InlandWet","MaritimeWet","InlandWater","Marine"
105000,105000,0.531957112,0.100179568,0.09407213,0.018573111,274.4,0.0087,0,0,0,0,0,0.7355,0.011,0.0185,0.145,0,0.081,0,0,0
105000,115000,0.477268379,0.116467788,0.097691305,0.015587831,292.9,0.003,0,0,2e-04,0,0,0.4687,0.0923,0.1761,0.094,0,0.1659,0,0,0
105000,125000,0.519226678,0.099237174,0.09039705,0.016813465,293.9,0,0,0,0,0,0,0.5898,0.0799,0.1053,0.1028,0,0.1219,0,0,0
105000,135000,0.561117296,0.093351621,0.08142345,0.019006676,275.9,0.0064,0,0,9e-04,0,0,0.8619,0.0186,0.0308,0.0056,0,0.0759,0,0,0
105000,145000,0.555797098,0.141425799,0.084497685,0.017133316,286.5,0.0065,8e-04,0,0,0,0,0.7045,0.007,0.0212,0.0186,0,0.0716,0.0037,0,0.0039
105000,155000,0.549203408,0.100126264,0.087500401,0.017716157,296.8,0.0014,0.0096,0,0.0049,0,0,0.6671,0.0371,0.0276,0.0266,0,0.0062,0.001,0,0.0051
105000,165000,0.541223745,0.076769838,0.08557982,0.020239258,296.8,0.0056,0,0,0,0,0,0.7584,0.0796,0.039,0.0313,0,0.0861,0,0,0
105000,175000,0.54682456,0.110439818,0.083953325,0.015172995,295.7,0.0081,0,0,0.0022,0,0,0.7632,0.0452,0.0177,2e-04,0,0.0107,0,0,0.0029
105000,225000,0.315953154,0.075838697,0.081796851,0.010593314,317.3,0,0,0,0,0,0,0.041,0.0901,2e-04,0.0052,0,0.7044,0,0.0219,0.002
105000,235000,0.318378974,0.072855897,0.07985811,0.009809062,312.3,0,0,0,0,0,0,0.0034,0.0052,0.1756,0.1927,0,0.5824,0,0.0405,0
105000,245000,0.326034036,0.11339211,0.102513716,0.007221618,311,0,0,0,0,0,0,0.0099,0.1124,0.0905,0.1319,0,0.537,0,0.1182,0
